Model Type,precision@k,recall@k,fpr@k
baseline,8.286148322054967e-05,2.224033152709503e-05,0.002763542707662782
most_pop_baseline_random_split,0.01317458551240681,0.019835004588208048,0.0021529121491988975
most_pop_baseline_time_split,0.0,0.0,0.004364917949446781
baseline,8.286148322054967e-05,2.224033152709503e-05,0.002763542707662782
item based,0.0012476837554045708,0.0006524706559429079,0.0013696716999908412
ring_buffer_baseline_random_split,0.0015628439357252917,0.0019321484546187342,0.002190689623935496
ring_buffer_baseline_time_split,0.01882155822395979,0.03013248050153789,0.004282433544948659
user based CF,0.0012645026724025553,0.0005259149123462138,0.0015015309817112648
most_pop_baseline_random_split,0.012723876497088234,0.018169835137512896,0.002159533520741676
most_pop_baseline_time_split,0.0,0.0,0.004364917949446781
ring_buffer_baseline_random_split,0.0029327453142227126,0.003234830072251486,0.0022060671574489423
ring_buffer_baseline_time_split,0.01882155822395979,0.03013248050153789,0.004282433544948659
baseline,8.286148322054967e-05,2.224033152709503e-05,0.002763542707662782
baseline,8.286148322054967e-05,2.224033152709503e-05,0.0027635427076627816
baseline,8.286148322054967e-05,2.224033152709503e-05,0.002763542707662782
user based CF,0.004060341181446497,0.007060557030515617,0.0018813653797877944
baseline,8.286148322054967e-05,2.224033152709503e-05,0.0027635427076627816
user based CF,0.004139900071377587,0.005735638515438877,0.0019268610785197434
user based CF,0.0035222269563982395,0.006631654254995296,0.0018905520704609405
user based CF,0.0035192280403008374,0.006583872117151911,0.0019105603775412406
ring_buffer_baseline_random_split,0.0021507760532150774,0.00263098549987601,0.002200030962661214
ring_buffer_baseline_time_split,0.01882155822395979,0.03013248050153789,0.004282433544948659
most_pop_baseline_random_split,0.012832102304045861,0.019111413300729043,0.0021611723302661363
most_pop_baseline_time_split,0.0,0.0,0.004364917949446781
ring_buffer_baseline_random_split,0.0021486321851810833,0.002595552920008522,0.002200006513526274
ring_buffer_baseline_time_split,0.01882155822395979,0.03013248050153789,0.004282433544948659
item based,0.0030273023058424104,0.00853096874811403,0.0021763571332365362
item based binary,0.003505328098710039,0.009939719484727898,0.0021784280269247836
item based complex,0.0018227706113292204,0.00313431535610421,0.0021825432781954674
item based binary,0.0034212401995723455,0.009139394698910024,0.002172041467656416
item based complex,0.002337847469707769,0.004269289735435344,0.002174678001086813
item based binary,0.0038328530259365994,0.009715074790723205,0.002237456020430079
item based complex,0.0019596541786743517,0.00300339009605464,0.002242124014182403
item based binary,0.003117030320204024,0.008032064870050135,0.0022133847306926133
item based complex,0.0021252479455936527,0.0024100370846816444,0.0022158294665399836
